Document,Date,Anomaly,Text_Snippet,Top_Terms
translated_20160630_[COMPANY_2]_Performancebegründung_page_5.txt,2016-07-12,-1,report weak quarterly result launch year leader fund lose able outperform correspond benchmark likely lot water flow thame effect leave economic outlook country cloud uncertainty cause brexit weigh in,"['chf', 'senior', 'swisscom', 'maturity', 'bond', 'duration', 'rate', 'finance', 'report', 'rating']"
translated_20160630_[COMPANY_2]_Performancebegründung_page_4.txt,2016-07-12,-1,major handicap bank swatch richemont overweight offer strong weak watch jewelry sale provide ammunition change trend good hand participate ipo vacuum valve manufacturer vat ipo oversubscribed increase,"['senior', 'eur', 'chf', 'maturity', 'fund', 'reg', 'bond', 'duration', 'rate', 'aaa']"
translated_20160630_[COMPANY_2]_Performancebegründung_page_3.txt,2016-07-12,-1,investor safe help dollar japanese yen soar counteract appreciation franc brexit referendum strong intervention dollar appreciate percent yen percent swiss currency demand gold increase commodity prod,"['usd', 'senior', 'aa', 'reg', 'intern', 'maturity', 'bond', 'duration', 'rate', 'finance']"
translated_20160630_[COMPANY_2]_Performancebegründung_page_1.txt,2016-07-12,-1,foundation flexible retirement construction industry dear sir like use letter explain environment financial market result investment strategy detail brexit cause red face overshadow quarter country ex,"['chf', 'industry', 'material', 'abb', 'consumer', 'richemont', 'non', 'share', 'basic', 'operating']"
translated_20160930_[COMPANY_1] Performancebegründung_page_1.txt,2016-10-12,-1,foundation flexible retirement construction industry dear sir like use letter explain financial market environment result investment strategy detail wait election eventful quarter half year event calm,"['chf', 'finance', 'eur', 'consumer', 'share', 'basic', 'energy', 'healthcare', 'staple', 'report']"
translated_20160930_[COMPANY_1] Performancebegründung_page_2.txt,2016-10-12,-1,nervousness increase presidential election reason stick current interest rate level various sub market react race biotechnology stock industry pricing policy attack weaken poll result presidential can,"['eur', 'owner', 'material', 'consumer', 'share', 'basic', 'fund', 'operating', 'consumable', 'staple']"
translated_20160930_[COMPANY_1] Performancebegründung_page_3.txt,2016-10-12,-1,emerge market currency develop compare south african gain percent thank good economic datum time mexican peso lose percent due rise poll rating presidential candidate confrontational course opec stron,"['eur', 'basic', 'material', 'good', 'owner', 'consumer', 'operating', 'consumable', 'raw', 'prefer']"
translated_20160930_[COMPANY_1] Performancebegründung_page_4.txt,2016-10-12,-1,swiss share show positive price development relative comparison share holding group overweighte rise industrial share participate adecco vat group consumer good sector underweight nestle share perform,"['usd', 'fund', 'gbp', 'etf', 'equity', 'us00287y1091', 'co', 'jpy', 'information', 'share']"
translated_2016-12-31 [COMPANY_1]_Performancebegründung_page_2.txt,2017-01-12,-1,share financial stock top table unusual stock top share performance table last quarter bank insurance percent benefit rise interest rate sector rotation contrast defensive consumer stock stock utility,"['usd', 'etf', 'technology', 'information', 'us4642872349', 'industry', 'us4581401001', 'share', 'fund', 'healthcare']"
translated_2016-12-31 [COMPANY_1]_Performancebegründung_page_3.txt,2017-01-12,-1,industrial metal investor favor last quarter strong economic signal come industrialize country hope new infrastructure project lead clear comeback price copper iron ore aluminum nickel zinc improve gl,"['usd', 'technology', 'information', 'discretionary', 'us6541061031', 'consumer', 'commodity', 'share', 'energy', 'healthcare']"
translated_2016-12-31 [COMPANY_1]_Performancebegründung_page_4.txt,2017-01-12,-1,compensate overweighte takeover negotiation ongoing foreign financial security increase average percent reduce weighting sector end year energy raw material stock positive impact ongoing price discuss,"['usd', 'technology', 'information', 'equity', 'total', 'share', 'fund', 'healthcare', 'report', 'sector']"
translated_20170331_[COMPANY_1] Performancebegründung_page_4.txt,2017-04-12,-1,trio affect sale strong growth signal emerge economy lead increase emerge market stock reduce weighting election year financial market seem unsettle french presidential election investor stay sideline,"['difference', 'portfolio', 'benchmark', 'apr', 'return', 'performance', 'history', 'date', 'calculation', 'reporting']"
translated_20170331_[COMPANY_1] Performancebegründung_page_3.txt,2017-04-12,-1,quote dollar end reporting period dollar high end last year comment 1st quarter quarter portfolio benefit friendly stock market environment positive contribution outperformance come overweighting equi,"['difference', 'portfolio', 'benchmark', 'apr', 'return', 'performance', 'history', 'liquidity', 'date', 'calculation']"
translated_20170331_[COMPANY_1] Performancebegründung_page_2.txt,2017-04-12,-1,presidency likely base absolute majority party parliament stock energy stock fall rise stock market country sector index green lag development hand suffer low oil price investor take profit accumulate,"['difference', 'portfolio', 'benchmark', 'apr', 'return', 'performance', 'history', 'date', 'calculation', 'reporting']"
translated_2017-06-30 [COMPANY_1] Performancebegründung_page_2.txt,2017-07-12,-1,share emerge market stock convince emerge market market appear overcome recent crisis asian stock particular able increase value last month technology consumer stock particular shine sector good indus,"['difference', 'portfolio', 'benchmark', 'apr', 'return', 'performance', 'history', 'date', 'calculation', 'reporting']"
translated_2017-06-30 [COMPANY_1] Performancebegründung_page_1.txt,2017-07-12,-1,foundation flexible retirement construction industry dear sir like use letter explain financial market environment result investment strategy detail ease french presidential election great uncertainty,"['tie', 'benchmark', 'segment', 'performance', 'portfolio', 'liquidity', 'difference', 'bond', 'calculation', 'ch']"
translated_2017-09-30_[COMPANY_1] Performancebegründung_page_1.txt,2017-10-12,-1,com customer service representative report 3rd quarter dear sir like use letter explain environment financial market result investment strategy detail positive mood market continue unabated quarter ye,"['fxswap', 'aud', 'cad', 'account', 'current', 'chf', 'sell', 'gbp', 'accumulate', 'market']"
translated_20171231_[COMPANY_1] Performancebegründung_page_1.txt,2018-01-12,-1,com customer service representative report 4th quarter dear sir like use letter explain financial market environment result investment strategy detail year end rally thank tax reform global stock mark,"['usd', 'sek', 'account', 'current', 'sell', 'fxswap', 'jpy', 'accumulate', 'market', 'transaction']"
translated_20180331_[COMPANY_1]_Performancebegründung_page_1.txt,2018-04-12,-1,com customer service representative report 1st quarter dear sir like use letter explain financial market environment result investment strategy detail long overdue correction occur stock market year g,"['usd', 'market', 'transaction', 'due', 'money', 'cash', 'account', 'exchange', 'date', 'current']"
translated_20180630_[COMPANY_1] Performancebegründung_page_1.txt,2018-07-12,-1,com customer service representative report 2nd quarter dear sir like use letter explain financial market environment result investment strategy detail political market quarter little evidence turbulen,"['senior', 'chf', 'cad', 'aaa', 'bat', 'aud', 'maturity', 'bond', 'duration', 'rate']"
translated_20180930_[COMPANY_2]_10011435-001_2417693_000000_page_1.txt,2018-10-12,-1,com service report 3rd quarter dear sir like use letter explain environment financial market result investment strategy detail concern trade conflict put rest escalate trade conflict political turmoil,"['chf', 'senior', 'ch0204811100', 'maturity', 'bond', 'duration', 'rate', 'item', 'aaa', 'rating']"
translated_20181231_[COMPANY_1] Performancebegründung Q4 2018_page_1.txt,2019-01-12,-1,com service report 4th quarter dear sir like use letter explain environment financial market result investment strategy detail hungover holiday wish party stock exchange leave hangover party week stro,"['chf', 'senior', 'gzo', 'eib', 'detail', 'maturity', 'bond', 'duration', 'rate', 'aaa']"
translated_20190331_[COMPANY_1]_Performancebericht_page_1.txt,2019-04-12,-1,com customer service representative report 1st quarter dear sir like use letter explain financial market environment result investment strategy detail goldilock start year investor perspective quarter,"['chf', 'senior', 'unibail', 'maturity', 'bond', 'duration', 'rate', 'rating', 'similar', 'market']"
translated_20190630_[COMPANY_1]_Performancebegründung_page_1.txt,2019-07-12,-1,com customer service representative report 2nd quarter dear sir like use letter explain environment financial market result investment strategy detail turn important central bank lot go quarter go rea,"['chf', 'senior', 'aaa', 'deposit', 'maturity', 'bond', 'duration', 'rate', 'item', 'rating']"
translated_20180331_[COMPANY_1]_Performancebegründung_page_2.txt,2024-02-12,-1,outlook export dependent hand mood darken strong yen make japanese good service expensive bond european periphery increase quarter year bond market economic inflation datum exceed market expectation f,"['chf', 'senior', 'swisscom', 'bbb', 'maturity', 'bond', 'duration', 'rate', 'item', 'rating']"
translated_20190331_[COMPANY_1]_Performancebericht_page_2.txt,2024-03-12,-1,technology stock focus energy industrial stock popular cyclical energy supplier manufacturer basic consumer good defensive sector want goldilock powell help bond market gain government bond fall cours,"['senior', 'chf', 'eur', 'maturity', 'fund', 'reg', 'bond', 'duration', 'rate', 'finance']"
translated_20180331_[COMPANY_1]_Performancebegründung_page_3.txt,2024-03-12,-1,quarter international bond market bond european high yield country take account good shape underweight japanese bond perform average bond favor achieve weak result true corporate bond lose reflect wea,"['senior', 'eur', 'gbp', 'aaa', 'intern', 'eib', 'no0010705536', 'code', 'post', 'maturity']"
translated_20170331_[COMPANY_1] Vermögensausweis_page_32.txt,2024-03-31,-1,statement asset create performance analysis current income income interest dividend less withholding taxis pay credit net income accrue interest balance purchase sale change accrue interest change val,"['gbp', 'etf', 'fund', 'eur', 'material', 'usd', 'share', 'owner', 'supply', 'consumable']"
translated_20180331_[COMPANY_1]_Vermögensausweis_page_28.txt,2024-03-31,-1,performance asset overview detail item appendix statement asset mandate performance analysis asset overview detailed item current income net performance income interest dividend less performance deduc,"['economic', 'stock', 'loss', 'financial', 'percent', 'bank', 'market', 'quarter', 'datum', 'measure']"
translated_20190630_[COMPANY_1]_Performancebegründung_page_3.txt,2024-04-12,-1,hedge gbp bond negative impact well credit rating portfolio advantage fall credit spread return average spanish italian government bond take account achieve strong performance long term usd bond negat,"['usd', 'senior', 'code', 'post', 'aa', 'aaa', 'no0010705536', 'maturity', 'bond', 'duration']"
translated_20171231_[COMPANY_1] Performancebegründung_page_3.txt,2024-05-12,-1,global bond market move positive territory local currency hand currency hedge euro dollar british pound negative usd bond overweighte result slight loss reason average performance last quarter weaknes,"['intern', 'usd', 'maturity', 'reg', 'bond', 'duration', 'rate', 'finance', 'report', 'rating']"
translated_20181231_[COMPANY_1] Performancebegründung Q4 2018_page_5.txt,2024-05-12,-1,important legal information information purpose invitation buy sell security offer buy subscribe past performance indicator current future performance return rise fall result currency fluctuation inve,"['basic', 'eur', 'good', 'consumer', 'owner', 'material', 'non', 'share', 'operating', 'consumable']"
translated_20180930_[COMPANY_2]_10011435-001_2417693_000000_page_3.txt,2024-05-12,-1,thank currency hedge damage cause strong limit foreign currency bond performance par comparison index weak performance achieve overweighted hedge bond enough avoid italian government bond year yield r,"['usd', 'gbp', 'equity', 'fund', 'us00287y1091', 'information', 'share', 'etf', 'industrial', 'technology']"
translated_20190630_[COMPANY_1]_Performancebegründung_page_2.txt,2024-05-12,-1,energy stock lag previous quarter individual sector country develop step sector energy perform average result sharp drop oil price country benefit central bank interest rate cut emerge market generate,"['usd', 'equity', 'total', 'fund', 'healthcare', 'staple', 'report', 'sector', 'similar', 'market']"
translated_20180630_[COMPANY_1] Performancebegründung_page_3.txt,2024-06-12,-1,aaa index short reporting period participate issue domestic segment reduce fund return international bond market experience weak return record bond market affect slight increase risk aversion lead inc,"['valuation', 'calculation', 'price', 'information', 'report', 'write', 'legal', 'method', 'value', 'determine']"
translated_20180630_[COMPANY_1] Performancebegründung_page_2.txt,2024-06-12,-1,know stock market jargon shine quarterly gain percent average percent half year energy sector perform benefit rise oil price course quarter emerge market stock hand lose percent fear trade dispute str,"['hedge', 'foreign', 'strategy', 'bond', 'least', 'world', 'currency', 'start', 'domestic', 'type']"
translated_2017-06-30 [COMPANY_1] Vermögensausweis_page_32.txt,2024-06-30,-1,statement asset create performance analysis current income income interest dividend less withholding taxis pay credit net income accrue interest balance purchase sale change accrue interest change val,"['difference', 'portfolio', 'benchmark', 'return', 'performance', 'history', 'date', 'calculation', 'reporting', 'value']"
translated_20180930_[COMPANY_2]_10011435-001_2417693_000000_page_2.txt,2024-09-12,-1,percent quarter global government bond market lose value local currency solid global economic growth rise inflation percent emerge market stock remain pressure stock market strong technology stock qua,"['usd', 'aaa', 'bond', 'chf', 'senior', 'rating', 'intern', 'price', 'aa', 'baa2']"
translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_33.txt,2024-09-30,-1,statement asset create share share investment share similar investment equity investment fund structured product share characteristic share investment real estate investment raw material precious meta,"['chf', 'senior', 'aa2', 'bond', 'dh', 'limmer', 'price', 'change', 'exchange', 'mandate']"
translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_32.txt,2024-09-30,-1,statement asset create performance analysis current income income interest dividend less withholding taxis pay credit net income accrue interest balance purchase sale change accrue interest change val,"['usd', 'aaa', 'senior', 'bond', 'chf', 'price', 'aa3', 'change', 'accrue', 'exchange']"
translated_20171231_[COMPANY_1] Performancebegründung_page_2.txt,2024-10-12,-1,percent cyclical surprising cyclical sector raw material industrial financial stock particular able increase value contrast defensive stock utility record gain yield curve continue flatten global bond,"['law', 'make', 'person', 'document', 'applicable', 'part', 'available', 'information', 'provide', 'trade']"
translated_20181231_[COMPANY_1] Performancebegründung Q4 2018_page_3.txt,2024-12-12,-1,commentary 4th quarter last quarter miss benchmark overweighte equity negative impact high credit spread bond sector sharp fall oil price economic slowdown expect dampened inflation expectation lead s,"['client', 'custody', 'type', 'retirement', 'flexible', 'com', 'foundation', 'portfolio', 'construction', 'information']"
translated_20181231_[COMPANY_1] Performancebegründung Q4 2018_page_2.txt,2024-12-12,-1,economic downturn cause oil price plummet oil time worth good dollar drop dollar compare high year oil slump couple economic slowdown expect dampen inflation outlook result yield come pressure price r,"['chf', 'senior', 'bond', 'ch0292984470', 'price', 'change', 'exchange', 'rate', 'market', 'nominal']"
translated_2017-09-30_[COMPANY_1] Performancebegründung_page_2.txt,2024-12-12,-1,comeback commodity stock emerge market stock continue impress equity sector brazilian stock gain impressive percent quarter chinese russian stock show good side latter benefit rise commodity price com,"['chf', 'senior', 'bond', 'gzo', 'price', 'unibail', 'change', 'reg', 'exchange', 'rate']"
translated_20171231_[COMPANY_1] Vermögensausweis_page_28.txt,2024-12-31,-1,performance asset overview detail item appendix statement asset mandate performance analysis asset overview detailed item current income net performance income interest dividend less performance deduc,"['gbp', 'eur', 'allocation', 'bond', 'chf', 'usd', 'detail', 'maturity', 'total', 'currency']"
